,id,chrom,start,end
181,gene_2413,chr04,854374,854374
182,gene_2426,chr04,868666,868675
183,gene_2439,chr04,899278,899278
184,gene_2453,chr04,925456,925456
185,gene_2466,chr04,935852,935986
186,gene_2479,chr04,942714,951678
187,gene_2493,chr04,964213,964679
188,gene_2506,chr04,977809,984668
189,gene_2519,chr04,999015,999015
190,gene_2533,chr04,1010556,1010556
191,gene_2546,chr04,1042134,1042134
192,gene_2559,chr04,1062359,1062359
193,gene_2572,chr04,1082664,1082797
194,gene_2586,chr04,1155158,1155375
195,gene_2599,chr04,1158141,1158930
196,gene_2612,chr04,1188455,1195855
197,gene_2626,chr04,1250649,1250655
198,gene_2639,chr04,1270239,1270257
199,gene_2652,chr04,1276368,1276439
200,gene_2666,chr04,1285989,1286830
201,gene_2679,chr04,1297060,1297504
202,gene_2692,chr04,1304557,1304982
203,gene_2706,chr04,1311898,1312976
204,gene_2719,chr04,1322122,1322122
205,gene_2732,chr04,1327746,1327746
206,gene_2746,chr04,1336473,1336511
207,gene_2759,chr04,1343812,1343921
208,gene_2772,chr04,1349041,1349137
209,gene_2786,chr04,1373055,1373501
210,gene_2799,chr04,1414957,1414957
211,gene_2812,chr04,1426861,1426947
212,gene_2826,chr04,1439212,1440273
213,gene_2839,chr04,1451946,1452003
214,gene_2852,chr04,1458350,1458350
215,gene_2866,chr04,1466272,1466299
216,gene_2879,chr04,1472269,1472558
217,gene_2892,chr04,1478109,1478962
218,gene_2906,chr04,1490753,1491484
219,gene_2919,chr04,1497549,1497549
220,gene_2932,chr04,1499816,1499816
221,gene_2946,chr04,1504475,1504512
222,gene_2959,chr04,1512029,1512029
223,gene_2972,chr04,1522468,1522468
224,gene_2986,chr05,11465,11465
225,gene_2999,chr05,14556,14594
226,gene_3012,chr05,27167,27167
227,gene_3026,chr05,32140,32140
228,gene_3039,chr05,43095,43210
229,gene_3052,chr05,51970,52064
230,gene_3066,chr05,64378,64901
231,gene_3079,chr05,68942,69140
232,gene_3092,chr05,73137,73278
233,gene_3106,chr05,84415,84415
234,gene_3119,chr05,93365,94242
235,gene_3132,chr05,99061,99098
236,gene_3146,chr05,103159,103432
237,gene_3159,chr05,108541,108910
238,gene_3172,chr05,134506,137593
239,gene_3185,chr05,156488,161375
240,gene_3199,chr05,188971,188972
241,gene_3212,chr05,196469,196752
242,gene_3225,chr05,200871,203476
243,gene_3239,chr05,211163,211242
244,gene_3252,chr05,214556,217302
245,gene_3265,chr05,227433,227433
246,gene_3279,chr05,242557,242643
247,gene_3292,chr05,249442,250442
248,gene_3305,chr05,261917,263415
249,gene_3319,chr05,281083,281592
250,gene_3332,chr05,313092,313304
251,gene_3345,chr05,327497,328088
252,gene_3359,chr05,340265,340922
253,gene_3372,chr05,356744,356857
254,gene_3385,chr05,371530,371530
255,gene_3399,chr05,386836,388652
256,gene_3412,chr05,398968,399481
257,gene_3425,chr05,410946,411461
258,gene_3439,chr05,455987,456501
259,gene_3452,chr05,466488,466602
260,gene_3465,chr05,471417,471417
261,gene_3479,chr05,490970,490970
262,gene_3492,chr05,494872,494879
263,gene_3505,chr05,505121,505121
264,gene_3519,chr05,509579,509579
265,gene_3532,chr05,514935,515778
266,gene_3545,chr05,527265,527265
267,gene_3559,chr05,532993,533037
268,gene_3572,chr05,547936,547936
269,gene_3585,chr05,559046,560581
270,gene_3599,chr05,563403,563410
271,gene_3612,chr05,567529,567535
272,gene_3625,chr05,570446,570478
273,gene_3639,chr05,572138,572140
274,gene_3652,chr05,572697,572757
275,gene_3665,chr05,573787,573807
276,gene_3679,chr05,574714,575031
277,gene_3692,chr06,32957,32966
278,gene_3705,chr06,36396,36464
279,gene_3719,chr06,43132,43132
280,gene_3732,chr06,46782,46782
281,gene_3745,chr06,58175,58175
282,gene_3759,chr06,70364,70364
283,gene_3772,chr06,74889,75020
284,gene_3785,chr06,88583,92659
285,gene_3799,chr06,98168,98168
286,gene_3812,chr06,103831,103846
287,gene_3825,chr06,108288,108889
288,gene_3838,chr06,115889,115972
289,gene_3852,chr06,145365,145572
290,gene_3865,chr06,158319,158321
291,gene_3878,chr06,160966,160969
292,gene_3892,chr06,168724,169290
293,gene_3905,chr06,172924,173900
294,gene_3918,chr06,178942,178954
295,gene_3932,chr06,190287,190287
296,gene_3945,chr06,192588,192588
297,gene_3958,chr06,198657,198968
298,gene_3972,chr06,206307,206398
299,gene_3985,chr06,208286,208614
300,gene_3998,chr06,227212,227212
301,gene_4012,chr06,235921,237741
302,gene_4025,chr06,246095,246319
303,gene_4038,chr06,259349,259794
304,gene_4052,chr06,264051,264051
305,gene_4065,chr06,267072,267246
306,gene_4078,chr07,12252,12331
307,gene_4092,chr07,20835,20930
308,gene_4105,chr07,22425,22809
309,gene_4118,chr07,33923,33923
310,gene_4132,chr07,46665,46665
311,gene_4145,chr07,64670,66164
312,gene_4158,chr07,84460,84796
313,gene_4172,chr07,95375,96146
314,gene_4185,chr07,108210,108210
315,gene_4198,chr07,116417,116417
316,gene_4212,chr07,126893,126893
317,gene_4225,chr07,133830,134169
318,gene_4238,chr07,138798,138808
319,gene_4252,chr07,145111,145111
320,gene_4265,chr07,157048,157048
321,gene_4278,chr07,167471,167471
322,gene_4292,chr07,174081,175780
323,gene_4305,chr07,184516,187982
324,gene_4318,chr07,194500,194500
325,gene_4332,chr07,200502,203150
326,gene_4345,chr07,206298,209671
327,gene_4358,chr07,218254,218254
328,gene_4372,chr07,224113,224141
329,gene_4385,chr07,234540,234540
330,gene_4398,chr07,242393,242393
331,gene_4412,chr07,249897,249897
332,gene_4425,chr07,255051,255051
333,gene_4438,chr07,260938,261058
334,gene_4451,chr07,266935,267809
335,gene_4465,chr07,274761,274767
336,gene_4478,chr07,291030,292803
337,gene_4491,chr07,307942,307962
338,gene_4505,chr07,324313,324851
339,gene_4518,chr07,354898,355192
340,gene_4531,chr07,365943,367243
341,gene_4545,chr07,388902,389725
342,gene_4558,chr07,394654,395013
343,gene_4571,chr07,400426,400469
344,gene_4585,chr07,415556,415604
345,gene_4598,chr07,432867,432952
346,gene_4611,chr07,453025,453025
347,gene_4625,chr07,465104,465338
348,gene_4638,chr07,474640,474640
349,gene_4651,chr07,526404,527883
350,gene_4665,chr07,558836,559003
351,gene_4678,chr07,587332,587332
352,gene_4691,chr07,610077,610077
353,gene_4705,chr07,626672,626672
354,gene_4718,chr07,650300,650372
355,gene_4731,chr07,661672,661673
356,gene_4745,chr07,691409,698826
357,gene_4758,chr07,740400,740400
358,gene_4771,chr07,773433,773470
359,gene_4785,chr07,776249,777801
360,gene_4798,chr07,780441,780578
361,gene_4811,chr07,782907,782907
362,gene_4825,chr07,793062,793422
363,gene_4838,chr07,800720,800927
364,gene_4851,chr07,805403,805403
365,gene_4865,chr07,812804,812845
366,gene_4878,chr07,840000,840000
367,gene_4891,chr07,853313,854090
368,gene_4905,chr07,860319,860319
369,gene_4918,chr07,863290,863495
370,gene_4931,chr07,875414,876127
371,gene_4945,chr07,881430,881430
372,gene_4958,chr07,884222,884273
373,gene_4971,chr07,895068,895083
374,gene_4985,chr07,903981,903981
375,gene_4998,chr07,916054,916111
376,gene_5011,chr07,928884,932118
377,gene_5025,chr07,936470,936470
378,gene_5038,chr07,945223,945223
379,gene_5051,chr07,951370,951370
380,gene_5065,chr07,959637,959639
381,gene_5078,chr07,970333,970333
382,gene_5091,chr07,985608,985740
383,gene_5104,chr07,996643,999271
384,gene_5118,chr07,1007846,1007969
385,gene_5131,chr07,1012553,1012699
386,gene_5144,chr07,1017913,1017913
387,gene_5158,chr07,1029719,1032044
388,gene_5171,chr07,1043492,1043503
389,gene_5184,chr07,1051752,1051752
390,gene_5198,chr07,1063663,1063663
391,gene_5211,chr07,1069229,1069336
392,gene_5224,chr08,12769,12769
393,gene_5238,chr08,18930,19093
394,gene_5251,chr08,31327,31327
395,gene_5264,chr08,48231,48231
396,gene_5278,chr08,69754,69754
397,gene_5291,chr08,74810,74840
398,gene_5304,chr08,85199,85222
399,gene_5318,chr08,103598,104532
400,gene_5331,chr08,120905,120965
401,gene_5344,chr08,142822,142858
402,gene_5358,chr08,146742,146742
403,gene_5371,chr08,160981,161500
404,gene_5384,chr08,171709,171709
405,gene_5398,chr08,182405,182655
406,gene_5411,chr08,187440,187440
407,gene_5424,chr08,194373,194407
408,gene_5438,chr08,218767,218768
409,gene_5451,chr08,232420,232420
410,gene_5464,chr08,280127,280127
411,gene_5478,chr08,316816,316964
412,gene_5491,chr08,340300,340300
413,gene_5504,chr08,344520,344654
414,gene_5518,chr08,352727,353167
415,gene_5531,chr08,358814,359550
416,gene_5544,chr08,361649,361706
417,gene_5558,chr08,367949,367949
418,gene_5571,chr08,378050,378356
419,gene_5584,chr08,395106,395106
420,gene_5598,chr08,403639,404008
421,gene_5611,chr08,410390,410650
422,gene_5624,chr08,421256,421260
423,gene_5638,chr08,427087,428520
424,gene_5651,chr08,433981,433981
425,gene_5664,chr08,444776,444920
426,gene_5678,chr08,453462,454173
427,gene_5691,chr08,458278,458765
428,gene_5704,chr08,465480,465556
429,gene_5717,chr08,467524,467709
430,gene_5731,chr08,485707,485882
431,gene_5744,chr08,498929,499135
432,gene_5757,chr08,519149,519153
433,gene_5771,chr09,35166,35173
434,gene_5784,chr09,48685,48752
435,gene_5797,chr09,53159,53171
436,gene_5811,chr09,64128,66195
437,gene_5824,chr09,74692,75004
438,gene_5837,chr09,87663,87724
439,gene_5851,chr09,94529,95144
440,gene_5864,chr09,100554,100710
441,gene_5877,chr09,102585,102587
442,gene_5891,chr09,127775,127799
443,gene_5904,chr09,138653,139016
444,gene_5917,chr09,142880,142880
445,gene_5931,chr09,152076,152080
446,gene_5944,chr09,161114,161114
447,gene_5957,chr09,172431,174012
448,gene_5971,chr09,178538,178554
449,gene_5984,chr09,190691,190691
450,gene_5997,chr09,196596,196646
451,gene_6011,chr09,202128,202792
452,gene_6024,chr09,214007,216956
453,gene_6037,chr09,225766,225766
454,gene_6051,chr09,233947,233947
455,gene_6064,chr09,244343,246361
456,gene_6077,chr09,254677,254677
457,gene_6091,chr09,269946,270003
458,gene_6104,chr09,273612,273653
459,gene_6117,chr09,280521,280773
460,gene_6131,chr09,293652,293652
461,gene_6144,chr09,312294,312357
462,gene_6157,chr09,334346,334878
463,gene_6171,chr09,362956,362956
464,gene_6184,chr09,371623,372134
465,gene_6197,chr09,379616,379616
466,gene_6211,chr09,388189,388311
467,gene_6224,chr09,391685,391685
468,gene_6237,chr09,396158,396264
469,gene_6251,chr09,399100,399100
470,gene_6264,chr09,406428,407946
471,gene_6277,chr09,415254,415471
472,gene_6291,chr09,422400,422718
473,gene_6304,chr09,427282,427282
474,gene_6317,chr09,429902,429937
475,gene_6331,chr09,432714,432747
476,gene_6344,chr10,37996,37997
477,gene_6357,chr10,52246,52246
478,gene_6370,chr10,59009,59269
479,gene_6384,chr10,67942,68549
480,gene_6397,chr10,76781,77240
481,gene_6410,chr10,80789,80873
482,gene_6424,chr10,94831,95287
483,gene_6437,chr10,110717,111648
484,gene_6450,chr10,117296,117296
485,gene_6464,chr10,127447,127919
486,gene_6477,chr10,136749,136774
487,gene_6490,chr10,142383,142876
488,gene_6504,chr10,155586,155586
489,gene_6517,chr10,161731,161731
490,gene_6530,chr10,181352,185779
491,gene_6544,chr10,197555,199406
492,gene_6557,chr10,220778,220778
493,gene_6570,chr10,230933,231982
494,gene_6584,chr10,236694,237191
495,gene_6597,chr10,240866,241442
496,gene_6610,chr10,257779,258319
497,gene_6624,chr10,279883,280214
498,gene_6637,chr10,290156,290225
499,gene_6650,chr10,294786,294841
500,gene_6664,chr10,300108,300171
501,gene_6677,chr10,306968,306974
502,gene_6690,chr10,317977,317977
503,gene_6704,chr10,328217,328217
504,gene_6717,chr10,333068,333068
505,gene_6730,chr10,342872,343779
506,gene_6744,chr10,351020,351140
507,gene_6757,chr10,360258,360990
508,gene_6770,chr10,392353,392353
509,gene_6784,chr10,396988,396988
510,gene_6797,chr10,406039,406101
511,gene_6810,chr10,436461,436461
512,gene_6824,chr10,457830,457830
513,gene_6837,chr10,463523,463525
514,gene_6850,chr10,469255,469255
515,gene_6864,chr10,488122,488559
516,gene_6877,chr10,505557,510673
517,gene_6890,chr10,522504,523143
518,gene_6904,chr10,532610,532614
519,gene_6917,chr10,550213,550406
520,gene_6930,chr10,557892,558195
521,gene_6944,chr10,566234,566327
522,gene_6957,chr10,572121,572148
523,gene_6970,chr10,577423,577714
524,gene_6983,chr10,586731,586731
525,gene_6997,chr10,599346,599346
526,gene_7010,chr10,617119,617119
527,gene_7023,chr10,623799,623799
528,gene_7037,chr10,628930,628940
529,gene_7050,chr10,637983,638110
530,gene_7063,chr10,643500,643500
531,gene_7077,chr10,663391,663391
532,gene_7090,chr10,685236,685260
533,gene_7103,chr10,717848,717848
534,gene_7117,chr11,5296,5296
535,gene_7130,chr11,12418,12418
536,gene_7143,chr11,20002,20002
537,gene_7157,chr11,30633,31275
538,gene_7170,chr11,38019,38097
539,gene_7183,chr11,43305,43432
540,gene_7197,chr11,54270,54270
541,gene_7210,chr11,70774,70774
542,gene_7223,chr11,78217,78673
543,gene_7237,chr11,83035,83206
544,gene_7250,chr11,88432,89207
545,gene_7263,chr11,93531,93531
546,gene_7277,chr11,111908,114770
547,gene_7290,chr11,136530,136836
548,gene_7303,chr11,156761,160334
549,gene_7317,chr11,171187,173424
550,gene_7330,chr11,193143,193633
551,gene_7343,chr11,200692,200811
552,gene_7357,chr11,213759,217386
553,gene_7370,chr11,221586,221785
554,gene_7383,chr11,231494,231494
555,gene_7397,chr11,261827,261827
556,gene_7410,chr11,277552,277576
557,gene_7423,chr11,279844,279858
558,gene_7437,chr11,287864,287864
559,gene_7450,chr11,296692,296692
560,gene_7463,chr11,305923,305923
561,gene_7477,chr11,309086,309280
562,gene_7490,chr11,312310,312310
563,gene_7503,chr11,315552,315552
564,gene_7517,chr11,322286,322301
565,gene_7530,chr11,327704,327839
566,gene_7543,chr11,334666,334802
567,gene_7557,chr11,341454,341454
568,gene_7570,chr11,350193,350564
569,gene_7583,chr11,356442,356757
570,gene_7597,chr11,362407,362407
571,gene_7610,chr11,367197,367197
572,gene_7623,chr11,372169,372528
573,gene_7636,chr11,379902,379902
574,gene_7650,chr11,388284,388638
575,gene_7663,chr11,402236,402236
576,gene_7676,chr11,411729,411856
577,gene_7690,chr11,432244,432349
578,gene_7703,chr11,439195,440270
579,gene_7716,chr11,448849,450241
580,gene_7730,chr11,469099,469365
581,gene_7743,chr11,479944,479980
582,gene_7756,chr11,487498,488032
583,gene_7770,chr11,509721,513035
584,gene_7783,chr11,522803,523738
585,gene_7796,chr11,531502,531502
586,gene_7810,chr11,538144,540860
587,gene_7823,chr11,552592,552672
588,gene_7836,chr11,560177,560177
589,gene_7850,chr11,567298,567388
590,gene_7863,chr11,572410,572410
591,gene_7876,chr11,576347,576629
592,gene_7890,chr11,583424,583424
593,gene_7903,chr11,592863,593088
594,gene_7916,chr11,612849,613716
595,gene_7930,chr11,619919,620703
596,gene_7943,chr11,635264,638113
597,gene_7956,chr12,19849,20165
598,gene_7970,chr12,22822,22904
599,gene_7983,chr12,29960,30339
600,gene_7996,chr12,40564,41059
601,gene_8010,chr12,51969,51973
602,gene_8023,chr12,62371,63694
603,gene_8036,chr12,74896,74896
604,gene_8050,chr12,82210,84405
605,gene_8063,chr12,88779,89940
606,gene_8076,chr12,99502,99752
607,gene_8090,chr12,123816,124302
608,gene_8103,chr12,130957,131247
609,gene_8116,chr12,143856,143856
610,gene_8130,chr12,186377,186377
611,gene_8143,chr12,203750,203798
612,gene_8156,chr12,234487,236580
613,gene_8170,chr12,248276,248402
614,gene_8183,chr12,253754,253754
615,gene_8196,chr12,258623,260358
616,gene_8210,chr12,269923,269923
617,gene_8223,chr12,276749,276749
618,gene_8236,chr12,281075,281075
619,gene_8249,chr12,288300,288712
620,gene_8263,chr12,299023,299023
621,gene_8276,chr12,306221,310210
622,gene_8289,chr12,319939,320777
623,gene_8303,chr12,327356,327362
624,gene_8316,chr12,333868,334424
625,gene_8329,chr12,340505,340526
626,gene_8343,chr12,357826,365558
627,gene_8356,chr12,401486,401486
628,gene_8369,chr12,407719,408772
629,gene_8383,chr12,430460,434372
630,gene_8396,chr12,494101,495132
631,gene_8409,chr12,507497,507497
632,gene_8423,chr12,515071,515071
633,gene_8436,chr12,524384,524384
634,gene_8449,chr12,536170,536179
635,gene_8463,chr12,538912,538912
636,gene_8476,chr12,553069,553069
637,gene_8489,chr12,563695,564246
638,gene_8503,chr12,572422,572665
639,gene_8516,chr12,582969,582978
640,gene_8529,chr12,589686,589694
641,gene_8543,chr12,604748,604748
642,gene_8556,chr12,618240,625298
643,gene_8569,chr12,643703,643835
644,gene_8583,chr12,665894,665964
645,gene_8596,chr12,689015,689950
646,gene_8609,chr12,702805,702985
647,gene_8623,chr12,713914,720520
648,gene_8636,chr12,732636,732677
649,gene_8649,chr12,746340,746351
650,gene_8663,chr12,751352,751352
651,gene_8676,chr12,761332,761412
652,gene_8689,chr12,766572,766572
653,gene_8703,chr12,774189,774189
654,gene_8716,chr12,780827,780899
655,gene_8729,chr12,785928,785928
656,gene_8743,chr12,793851,794003
657,gene_8756,chr12,798711,799191
658,gene_8769,chr12,806425,807443
659,gene_8783,chr12,811548,812633
660,gene_8796,chr12,816771,816884
661,gene_8809,chr12,820209,820229
662,gene_8823,chr12,824743,824743
663,gene_8836,chr12,831049,831049
664,gene_8849,chr12,836814,836875
665,gene_8863,chr12,844194,846860
666,gene_8876,chr12,859778,860674
667,gene_8889,chr12,869423,869423
668,gene_8902,chr12,878145,878273
669,gene_8916,chr12,886585,886687
670,gene_8929,chr12,898170,898170
671,gene_8942,chr12,912943,913285
672,gene_8956,chr12,927282,927413
673,gene_8969,chr12,939187,939270
674,gene_8982,chr12,952661,952973
675,gene_8996,chr12,967669,973868
676,gene_9009,chr12,997539,998027
677,gene_9022,chr12,1012605,1012744
678,gene_9036,chr12,1023633,1024145
679,gene_9049,chr12,1034305,1034305
680,gene_9062,chr12,1053294,1053306
681,gene_9076,chr12,1063506,1063535
682,gene_9089,chr13,23576,23831
683,gene_9102,chr13,26443,26443
684,gene_9116,chr13,38180,38180
685,gene_9129,chr13,53797,53802
686,gene_9142,chr13,67995,67995
687,gene_9156,chr13,75430,75430
688,gene_9169,chr13,78014,78014
689,gene_9182,chr13,83165,83213
690,gene_9196,chr13,90849,90849
691,gene_9209,chr13,101898,102596
692,gene_9222,chr13,115526,117706
693,gene_9236,chr13,125946,127501
694,gene_9249,chr13,132002,132111
695,gene_9262,chr13,139010,139010
696,gene_9276,chr13,148039,150608
697,gene_9289,chr13,159809,161488
698,gene_9302,chr13,169859,169859
699,gene_9316,chr13,192246,192459
700,gene_9329,chr13,210675,212735
701,gene_9342,chr13,217652,217702
702,gene_9356,chr13,226265,226277
703,gene_9369,chr13,234629,234629
704,gene_9382,chr13,242392,242392
705,gene_9396,chr13,262210,263117
706,gene_9409,chr13,285399,285399
707,gene_9422,chr13,295229,295229
708,gene_9436,chr13,304107,304107
709,gene_9449,chr13,309183,309245
710,gene_9462,chr13,315013,318305
711,gene_9476,chr13,324305,325358
712,gene_9489,chr13,334399,334792
713,gene_9502,chr13,337578,337578
714,gene_9515,chr13,343439,343439
715,gene_9529,chr13,350270,350418
716,gene_9542,chr13,363151,363151
717,gene_9555,chr13,369280,369683
718,gene_9569,chr13,382490,382490
719,gene_9582,chr13,390353,390371
720,gene_9595,chr13,396779,396890
721,gene_9609,chr13,402800,402800
722,gene_9622,chr13,407854,408257
723,gene_9635,chr13,417363,417435
724,gene_9649,chr13,422287,422287
725,gene_9662,chr13,431429,431438
726,gene_9675,chr13,437355,437355
727,gene_9689,chr13,443467,444889
728,gene_9702,chr13,458642,458822
729,gene_9715,chr13,463688,463738
730,gene_9729,chr13,469900,470062
731,gene_9742,chr13,479244,480203
732,gene_9755,chr13,495336,495345
733,gene_9769,chr13,502521,502661
734,gene_9782,chr13,505365,505432
735,gene_9795,chr13,512449,513163
736,gene_9809,chr13,523461,523461
737,gene_9822,chr13,531288,531295
738,gene_9835,chr13,541077,541077
739,gene_9849,chr13,555183,555524
740,gene_9862,chr13,563635,566935
741,gene_9875,chr13,580137,580911
742,gene_9889,chr13,594230,598300
743,gene_9902,chr13,613350,613350
744,gene_9915,chr13,625092,625575
745,gene_9929,chr13,631482,631482
746,gene_9942,chr13,642743,644463
747,gene_9955,chr13,661580,661580
748,gene_9969,chr13,669029,669187
749,gene_9982,chr13,676506,676506
750,gene_9995,chr13,689884,689920
751,gene_10009,chr13,702531,703510
752,gene_10022,chr13,709507,710916
753,gene_10035,chr13,715947,715947
754,gene_10049,chr13,727266,728612
755,gene_10062,chr13,743080,743203
756,gene_10075,chr13,755460,756808
757,gene_10089,chr13,779569,779569
758,gene_10102,chr13,798496,799153
759,gene_10115,chr13,815315,816077
760,gene_10129,chr13,823009,823390
761,gene_10142,chr13,832672,832765
762,gene_10155,chr13,841046,842189
763,gene_10168,chr13,850600,852572
764,gene_10182,chr13,860691,860706
765,gene_10195,chr13,870144,870144
766,gene_10208,chr13,911176,911851
767,gene_10222,chr14,17659,17663
768,gene_10235,chr14,28205,28352
769,gene_10248,chr14,34125,34313
770,gene_10262,chr14,42961,43010
771,gene_10275,chr14,47690,47939
772,gene_10288,chr14,52852,53178
773,gene_10302,chr14,77228,77228
774,gene_10315,chr14,90963,90963
