,strain,gene,genotype,growth_rate
72,seg_01B,gene_947,Wild isolate,6.72044718438651
73,seg_01B,gene_960,Wild isolate,6.72044718438651
74,seg_01B,gene_973,Wild isolate,6.72044718438651
75,seg_01B,gene_987,Wild isolate,6.72044718438651
76,seg_01B,gene_1000,Wild isolate,6.72044718438651
77,seg_01B,gene_1013,Wild isolate,6.72044718438651
78,seg_01B,gene_1027,Wild isolate,6.72044718438651
79,seg_01B,gene_1040,Wild isolate,6.72044718438651
80,seg_01B,gene_1053,Wild isolate,6.72044718438651
81,seg_01B,gene_1067,Wild isolate,6.72044718438651
82,seg_01B,gene_1080,Wild isolate,6.72044718438651
83,seg_01B,gene_1093,Wild isolate,6.72044718438651
84,seg_01B,gene_1107,Wild isolate,6.72044718438651
85,seg_01B,gene_1120,Lab strain,6.72044718438651
86,seg_01B,gene_1133,Lab strain,6.72044718438651
87,seg_01B,gene_1147,Lab strain,6.72044718438651
88,seg_01B,gene_1160,Lab strain,6.72044718438651
89,seg_01B,gene_1173,Wild isolate,6.72044718438651
90,seg_01B,gene_1187,Wild isolate,6.72044718438651
91,seg_01B,gene_1200,Wild isolate,6.72044718438651
92,seg_01B,gene_1213,Wild isolate,6.72044718438651
93,seg_01B,gene_1227,Wild isolate,6.72044718438651
94,seg_01B,gene_1240,Wild isolate,6.72044718438651
95,seg_01B,gene_1253,Wild isolate,6.72044718438651
96,seg_01B,gene_1267,Wild isolate,6.72044718438651
97,seg_01B,gene_1280,Wild isolate,6.72044718438651
98,seg_01B,gene_1293,Lab strain,6.72044718438651
99,seg_01B,gene_1306,Wild isolate,6.72044718438651
100,seg_01B,gene_1320,Wild isolate,6.72044718438651
101,seg_01B,gene_1333,Wild isolate,6.72044718438651
102,seg_01B,gene_1346,Wild isolate,6.72044718438651
103,seg_01B,gene_1360,Wild isolate,6.72044718438651
104,seg_01B,gene_1373,Wild isolate,6.72044718438651
105,seg_01B,gene_1386,Wild isolate,6.72044718438651
106,seg_01B,gene_1400,Wild isolate,6.72044718438651
107,seg_01B,gene_1413,Wild isolate,6.72044718438651
108,seg_01B,gene_1426,Wild isolate,6.72044718438651
109,seg_01B,gene_1440,Wild isolate,6.72044718438651
110,seg_01B,gene_1453,Wild isolate,6.72044718438651
111,seg_01B,gene_1466,Wild isolate,6.72044718438651
112,seg_01B,gene_1480,Wild isolate,6.72044718438651
113,seg_01B,gene_1493,Wild isolate,6.72044718438651
114,seg_01B,gene_1506,Wild isolate,6.72044718438651
115,seg_01B,gene_1520,Lab strain,6.72044718438651
116,seg_01B,gene_1533,Lab strain,6.72044718438651
117,seg_01B,gene_1546,Lab strain,6.72044718438651
118,seg_01B,gene_1560,Lab strain,6.72044718438651
119,seg_01B,gene_1573,Lab strain,6.72044718438651
120,seg_01B,gene_1586,Lab strain,6.72044718438651
121,seg_01B,gene_1600,Wild isolate,6.72044718438651
122,seg_01B,gene_1613,Wild isolate,6.72044718438651
123,seg_01B,gene_1626,Wild isolate,6.72044718438651
124,seg_01B,gene_1640,Wild isolate,6.72044718438651
125,seg_01B,gene_1653,Wild isolate,6.72044718438651
126,seg_01B,gene_1666,Wild isolate,6.72044718438651
127,seg_01B,gene_1680,Wild isolate,6.72044718438651
128,seg_01B,gene_1693,Wild isolate,6.72044718438651
129,seg_01B,gene_1706,Wild isolate,6.72044718438651
130,seg_01B,gene_1720,Wild isolate,6.72044718438651
131,seg_01B,gene_1733,Wild isolate,6.72044718438651
132,seg_01B,gene_1746,Wild isolate,6.72044718438651
133,seg_01B,gene_1760,Wild isolate,6.72044718438651
134,seg_01B,gene_1773,Wild isolate,6.72044718438651
135,seg_01B,gene_1786,Wild isolate,6.72044718438651
136,seg_01B,gene_1800,Wild isolate,6.72044718438651
137,seg_01B,gene_1813,Wild isolate,6.72044718438651
138,seg_01B,gene_1826,Wild isolate,6.72044718438651
139,seg_01B,gene_1840,Wild isolate,6.72044718438651
140,seg_01B,gene_1853,Wild isolate,6.72044718438651
141,seg_01B,gene_1866,Wild isolate,6.72044718438651
142,seg_01B,gene_1880,Wild isolate,6.72044718438651
143,seg_01B,gene_1893,Wild isolate,6.72044718438651
144,seg_01B,gene_1906,Wild isolate,6.72044718438651
145,seg_01B,gene_1919,Wild isolate,6.72044718438651
146,seg_01B,gene_1933,Wild isolate,6.72044718438651
147,seg_01B,gene_1946,Wild isolate,6.72044718438651
148,seg_01B,gene_1959,Wild isolate,6.72044718438651
149,seg_01B,gene_1973,Wild isolate,6.72044718438651
150,seg_01B,gene_1986,Wild isolate,6.72044718438651
151,seg_01B,gene_1999,Wild isolate,6.72044718438651
152,seg_01B,gene_2013,Wild isolate,6.72044718438651
153,seg_01B,gene_2026,Wild isolate,6.72044718438651
154,seg_01B,gene_2039,Lab strain,6.72044718438651
155,seg_01B,gene_2053,Lab strain,6.72044718438651
156,seg_01B,gene_2066,Lab strain,6.72044718438651
157,seg_01B,gene_2079,Lab strain,6.72044718438651
158,seg_01B,gene_2093,Lab strain,6.72044718438651
159,seg_01B,gene_2106,Lab strain,6.72044718438651
160,seg_01B,gene_2119,Lab strain,6.72044718438651
161,seg_01B,gene_2133,Lab strain,6.72044718438651
162,seg_01B,gene_2146,Lab strain,6.72044718438651
163,seg_01B,gene_2159,Lab strain,6.72044718438651
164,seg_01B,gene_2173,Lab strain,6.72044718438651
165,seg_01B,gene_2186,Lab strain,6.72044718438651
166,seg_01B,gene_2199,Lab strain,6.72044718438651
167,seg_01B,gene_2213,Lab strain,6.72044718438651
168,seg_01B,gene_2226,Lab strain,6.72044718438651
169,seg_01B,gene_2239,Lab strain,6.72044718438651
170,seg_01B,gene_2253,Lab strain,6.72044718438651
171,seg_01B,gene_2266,Lab strain,6.72044718438651
172,seg_01B,gene_2279,Lab strain,6.72044718438651
173,seg_01B,gene_2293,Lab strain,6.72044718438651
174,seg_01B,gene_2306,Lab strain,6.72044718438651
175,seg_01B,gene_2319,Lab strain,6.72044718438651
176,seg_01B,gene_2333,Lab strain,6.72044718438651
177,seg_01B,gene_2346,Lab strain,6.72044718438651
178,seg_01B,gene_2359,Lab strain,6.72044718438651
179,seg_01B,gene_2373,Lab strain,6.72044718438651
180,seg_01B,gene_2386,Lab strain,6.72044718438651
181,seg_01B,gene_2399,Lab strain,6.72044718438651
182,seg_01B,gene_2413,Lab strain,6.72044718438651
183,seg_01B,gene_2426,Lab strain,6.72044718438651
184,seg_01B,gene_2439,Lab strain,6.72044718438651
185,seg_01B,gene_2453,Lab strain,6.72044718438651
186,seg_01B,gene_2466,Lab strain,6.72044718438651
187,seg_01B,gene_2479,Lab strain,6.72044718438651
188,seg_01B,gene_2493,Lab strain,6.72044718438651
189,seg_01B,gene_2506,Lab strain,6.72044718438651
190,seg_01B,gene_2519,Lab strain,6.72044718438651
191,seg_01B,gene_2533,Lab strain,6.72044718438651
192,seg_01B,gene_2546,Lab strain,6.72044718438651
193,seg_01B,gene_2559,Lab strain,6.72044718438651
194,seg_01B,gene_2572,Lab strain,6.72044718438651
195,seg_01B,gene_2586,Lab strain,6.72044718438651
196,seg_01B,gene_2599,Lab strain,6.72044718438651
197,seg_01B,gene_2612,Lab strain,6.72044718438651
198,seg_01B,gene_2626,Lab strain,6.72044718438651
199,seg_01B,gene_2639,Lab strain,6.72044718438651
200,seg_01B,gene_2652,Lab strain,6.72044718438651
201,seg_01B,gene_2666,Lab strain,6.72044718438651
202,seg_01B,gene_2679,Lab strain,6.72044718438651
203,seg_01B,gene_2692,Lab strain,6.72044718438651
204,seg_01B,gene_2706,Lab strain,6.72044718438651
205,seg_01B,gene_2719,Lab strain,6.72044718438651
206,seg_01B,gene_2732,Lab strain,6.72044718438651
207,seg_01B,gene_2746,Lab strain,6.72044718438651
208,seg_01B,gene_2759,Lab strain,6.72044718438651
209,seg_01B,gene_2772,Lab strain,6.72044718438651
210,seg_01B,gene_2786,Lab strain,6.72044718438651
211,seg_01B,gene_2799,Lab strain,6.72044718438651
212,seg_01B,gene_2812,Lab strain,6.72044718438651
213,seg_01B,gene_2826,Lab strain,6.72044718438651
214,seg_01B,gene_2839,Lab strain,6.72044718438651
215,seg_01B,gene_2852,Lab strain,6.72044718438651
216,seg_01B,gene_2866,Lab strain,6.72044718438651
217,seg_01B,gene_2879,Lab strain,6.72044718438651
218,seg_01B,gene_2892,Lab strain,6.72044718438651
219,seg_01B,gene_2906,Lab strain,6.72044718438651
220,seg_01B,gene_2919,Lab strain,6.72044718438651
221,seg_01B,gene_2932,Lab strain,6.72044718438651
222,seg_01B,gene_2946,Lab strain,6.72044718438651
223,seg_01B,gene_2959,Lab strain,6.72044718438651
224,seg_01B,gene_2972,Lab strain,6.72044718438651
225,seg_01B,gene_2986,Lab strain,6.72044718438651
226,seg_01B,gene_2999,Lab strain,6.72044718438651
227,seg_01B,gene_3012,Lab strain,6.72044718438651
228,seg_01B,gene_3026,Wild isolate,6.72044718438651
229,seg_01B,gene_3039,Wild isolate,6.72044718438651
230,seg_01B,gene_3052,Wild isolate,6.72044718438651
231,seg_01B,gene_3066,Wild isolate,6.72044718438651
232,seg_01B,gene_3079,Wild isolate,6.72044718438651
233,seg_01B,gene_3092,Wild isolate,6.72044718438651
234,seg_01B,gene_3106,Wild isolate,6.72044718438651
235,seg_01B,gene_3119,Wild isolate,6.72044718438651
236,seg_01B,gene_3132,Wild isolate,6.72044718438651
237,seg_01B,gene_3146,Wild isolate,6.72044718438651
238,seg_01B,gene_3159,Wild isolate,6.72044718438651
239,seg_01B,gene_3172,Wild isolate,6.72044718438651
240,seg_01B,gene_3185,Wild isolate,6.72044718438651
241,seg_01B,gene_3199,Wild isolate,6.72044718438651
242,seg_01B,gene_3212,Wild isolate,6.72044718438651
243,seg_01B,gene_3225,Wild isolate,6.72044718438651
244,seg_01B,gene_3239,Wild isolate,6.72044718438651
245,seg_01B,gene_3252,Wild isolate,6.72044718438651
246,seg_01B,gene_3265,Wild isolate,6.72044718438651
247,seg_01B,gene_3279,Wild isolate,6.72044718438651
248,seg_01B,gene_3292,Wild isolate,6.72044718438651
249,seg_01B,gene_3305,Wild isolate,6.72044718438651
250,seg_01B,gene_3319,Wild isolate,6.72044718438651
251,seg_01B,gene_3332,Lab strain,6.72044718438651
252,seg_01B,gene_3345,Lab strain,6.72044718438651
253,seg_01B,gene_3359,Lab strain,6.72044718438651
254,seg_01B,gene_3372,Lab strain,6.72044718438651
255,seg_01B,gene_3385,Lab strain,6.72044718438651
256,seg_01B,gene_3399,Lab strain,6.72044718438651
257,seg_01B,gene_3412,Lab strain,6.72044718438651
258,seg_01B,gene_3425,Lab strain,6.72044718438651
259,seg_01B,gene_3439,Lab strain,6.72044718438651
260,seg_01B,gene_3452,Lab strain,6.72044718438651
261,seg_01B,gene_3465,Wild isolate,6.72044718438651
262,seg_01B,gene_3479,Wild isolate,6.72044718438651
263,seg_01B,gene_3492,Wild isolate,6.72044718438651
264,seg_01B,gene_3505,Wild isolate,6.72044718438651
265,seg_01B,gene_3519,Wild isolate,6.72044718438651
266,seg_01B,gene_3532,Wild isolate,6.72044718438651
267,seg_01B,gene_3545,Wild isolate,6.72044718438651
268,seg_01B,gene_3559,Wild isolate,6.72044718438651
269,seg_01B,gene_3572,Wild isolate,6.72044718438651
270,seg_01B,gene_3585,Wild isolate,6.72044718438651
271,seg_01B,gene_3599,Wild isolate,6.72044718438651
272,seg_01B,gene_3612,Wild isolate,6.72044718438651
273,seg_01B,gene_3625,Wild isolate,6.72044718438651
274,seg_01B,gene_3639,Wild isolate,6.72044718438651
275,seg_01B,gene_3652,Wild isolate,6.72044718438651
276,seg_01B,gene_3665,Wild isolate,6.72044718438651
277,seg_01B,gene_3679,Wild isolate,6.72044718438651
278,seg_01B,gene_3692,Lab strain,6.72044718438651
279,seg_01B,gene_3705,Lab strain,6.72044718438651
280,seg_01B,gene_3719,Lab strain,6.72044718438651
281,seg_01B,gene_3732,Lab strain,6.72044718438651
282,seg_01B,gene_3745,Lab strain,6.72044718438651
283,seg_01B,gene_3759,Lab strain,6.72044718438651
284,seg_01B,gene_3772,Lab strain,6.72044718438651
285,seg_01B,gene_3785,Lab strain,6.72044718438651
286,seg_01B,gene_3799,Lab strain,6.72044718438651
287,seg_01B,gene_3812,Lab strain,6.72044718438651
288,seg_01B,gene_3825,Lab strain,6.72044718438651
289,seg_01B,gene_3838,Wild isolate,6.72044718438651
290,seg_01B,gene_3852,Wild isolate,6.72044718438651
291,seg_01B,gene_3865,Wild isolate,6.72044718438651
292,seg_01B,gene_3878,Wild isolate,6.72044718438651
293,seg_01B,gene_3892,Wild isolate,6.72044718438651
294,seg_01B,gene_3905,Wild isolate,6.72044718438651
295,seg_01B,gene_3918,Wild isolate,6.72044718438651
296,seg_01B,gene_3932,Wild isolate,6.72044718438651
297,seg_01B,gene_3945,Wild isolate,6.72044718438651
298,seg_01B,gene_3958,Wild isolate,6.72044718438651
299,seg_01B,gene_3972,Wild isolate,6.72044718438651
300,seg_01B,gene_3985,Wild isolate,6.72044718438651
301,seg_01B,gene_3998,Lab strain,6.72044718438651
302,seg_01B,gene_4012,Lab strain,6.72044718438651
303,seg_01B,gene_4025,Lab strain,6.72044718438651
304,seg_01B,gene_4038,Lab strain,6.72044718438651
305,seg_01B,gene_4052,Lab strain,6.72044718438651
306,seg_01B,gene_4065,Lab strain,6.72044718438651
307,seg_01B,gene_4078,Wild isolate,6.72044718438651
308,seg_01B,gene_4092,Wild isolate,6.72044718438651
309,seg_01B,gene_4105,Wild isolate,6.72044718438651
310,seg_01B,gene_4118,Wild isolate,6.72044718438651
311,seg_01B,gene_4132,Wild isolate,6.72044718438651
312,seg_01B,gene_4145,Wild isolate,6.72044718438651
313,seg_01B,gene_4158,Wild isolate,6.72044718438651
314,seg_01B,gene_4172,Wild isolate,6.72044718438651
315,seg_01B,gene_4185,Wild isolate,6.72044718438651
316,seg_01B,gene_4198,Wild isolate,6.72044718438651
317,seg_01B,gene_4212,Wild isolate,6.72044718438651
318,seg_01B,gene_4225,Wild isolate,6.72044718438651
319,seg_01B,gene_4238,Wild isolate,6.72044718438651
320,seg_01B,gene_4252,Wild isolate,6.72044718438651
321,seg_01B,gene_4265,Wild isolate,6.72044718438651
322,seg_01B,gene_4278,Wild isolate,6.72044718438651
323,seg_01B,gene_4292,Wild isolate,6.72044718438651
324,seg_01B,gene_4305,Wild isolate,6.72044718438651
325,seg_01B,gene_4318,Wild isolate,6.72044718438651
326,seg_01B,gene_4332,Wild isolate,6.72044718438651
327,seg_01B,gene_4345,Wild isolate,6.72044718438651
328,seg_01B,gene_4358,Wild isolate,6.72044718438651
329,seg_01B,gene_4372,Wild isolate,6.72044718438651
330,seg_01B,gene_4385,Wild isolate,6.72044718438651
331,seg_01B,gene_4398,Wild isolate,6.72044718438651
332,seg_01B,gene_4412,Wild isolate,6.72044718438651
333,seg_01B,gene_4425,Wild isolate,6.72044718438651
334,seg_01B,gene_4438,Wild isolate,6.72044718438651
335,seg_01B,gene_4451,Wild isolate,6.72044718438651
336,seg_01B,gene_4465,Wild isolate,6.72044718438651
337,seg_01B,gene_4478,Wild isolate,6.72044718438651
338,seg_01B,gene_4491,Wild isolate,6.72044718438651
339,seg_01B,gene_4505,Wild isolate,6.72044718438651
340,seg_01B,gene_4518,Wild isolate,6.72044718438651
341,seg_01B,gene_4531,Wild isolate,6.72044718438651
342,seg_01B,gene_4545,Wild isolate,6.72044718438651
343,seg_01B,gene_4558,Wild isolate,6.72044718438651
344,seg_01B,gene_4571,Wild isolate,6.72044718438651
345,seg_01B,gene_4585,Wild isolate,6.72044718438651
346,seg_01B,gene_4598,Wild isolate,6.72044718438651
347,seg_01B,gene_4611,Wild isolate,6.72044718438651
348,seg_01B,gene_4625,Wild isolate,6.72044718438651
349,seg_01B,gene_4638,Wild isolate,6.72044718438651
350,seg_01B,gene_4651,Wild isolate,6.72044718438651
351,seg_01B,gene_4665,Wild isolate,6.72044718438651
352,seg_01B,gene_4678,Wild isolate,6.72044718438651
353,seg_01B,gene_4691,Wild isolate,6.72044718438651
354,seg_01B,gene_4705,Wild isolate,6.72044718438651
355,seg_01B,gene_4718,Wild isolate,6.72044718438651
356,seg_01B,gene_4731,Wild isolate,6.72044718438651
357,seg_01B,gene_4745,Wild isolate,6.72044718438651
358,seg_01B,gene_4758,Wild isolate,6.72044718438651
359,seg_01B,gene_4771,Wild isolate,6.72044718438651
360,seg_01B,gene_4785,Wild isolate,6.72044718438651
361,seg_01B,gene_4798,Wild isolate,6.72044718438651
362,seg_01B,gene_4811,Wild isolate,6.72044718438651
363,seg_01B,gene_4825,Wild isolate,6.72044718438651
364,seg_01B,gene_4838,Wild isolate,6.72044718438651
365,seg_01B,gene_4851,Wild isolate,6.72044718438651
366,seg_01B,gene_4865,Wild isolate,6.72044718438651
367,seg_01B,gene_4878,Lab strain,6.72044718438651
368,seg_01B,gene_4891,Lab strain,6.72044718438651
369,seg_01B,gene_4905,Lab strain,6.72044718438651
370,seg_01B,gene_4918,Lab strain,6.72044718438651
371,seg_01B,gene_4931,Lab strain,6.72044718438651
372,seg_01B,gene_4945,Lab strain,6.72044718438651
373,seg_01B,gene_4958,Lab strain,6.72044718438651
374,seg_01B,gene_4971,Lab strain,6.72044718438651
375,seg_01B,gene_4985,Lab strain,6.72044718438651
376,seg_01B,gene_4998,Lab strain,6.72044718438651
377,seg_01B,gene_5011,Lab strain,6.72044718438651
378,seg_01B,gene_5025,Lab strain,6.72044718438651
379,seg_01B,gene_5038,Lab strain,6.72044718438651
380,seg_01B,gene_5051,Lab strain,6.72044718438651
381,seg_01B,gene_5065,Lab strain,6.72044718438651
382,seg_01B,gene_5078,Lab strain,6.72044718438651
383,seg_01B,gene_5091,Lab strain,6.72044718438651
384,seg_01B,gene_5104,Lab strain,6.72044718438651
385,seg_01B,gene_5118,Lab strain,6.72044718438651
386,seg_01B,gene_5131,Lab strain,6.72044718438651
387,seg_01B,gene_5144,Lab strain,6.72044718438651
388,seg_01B,gene_5158,Lab strain,6.72044718438651
389,seg_01B,gene_5171,Lab strain,6.72044718438651
390,seg_01B,gene_5184,Lab strain,6.72044718438651
391,seg_01B,gene_5198,Lab strain,6.72044718438651
392,seg_01B,gene_5211,Lab strain,6.72044718438651
393,seg_01B,gene_5224,Lab strain,6.72044718438651
394,seg_01B,gene_5238,Lab strain,6.72044718438651
395,seg_01B,gene_5251,Lab strain,6.72044718438651
396,seg_01B,gene_5264,Lab strain,6.72044718438651
397,seg_01B,gene_5278,Lab strain,6.72044718438651
398,seg_01B,gene_5291,Lab strain,6.72044718438651
399,seg_01B,gene_5304,Lab strain,6.72044718438651
400,seg_01B,gene_5318,Lab strain,6.72044718438651
401,seg_01B,gene_5331,Lab strain,6.72044718438651
402,seg_01B,gene_5344,Lab strain,6.72044718438651
403,seg_01B,gene_5358,Lab strain,6.72044718438651
404,seg_01B,gene_5371,Lab strain,6.72044718438651
405,seg_01B,gene_5384,Lab strain,6.72044718438651
406,seg_01B,gene_5398,Wild isolate,6.72044718438651
407,seg_01B,gene_5411,Wild isolate,6.72044718438651
408,seg_01B,gene_5424,Wild isolate,6.72044718438651
409,seg_01B,gene_5438,Wild isolate,6.72044718438651
410,seg_01B,gene_5451,Wild isolate,6.72044718438651
411,seg_01B,gene_5464,Wild isolate,6.72044718438651
412,seg_01B,gene_5478,Wild isolate,6.72044718438651
413,seg_01B,gene_5491,Wild isolate,6.72044718438651
414,seg_01B,gene_5504,Wild isolate,6.72044718438651
415,seg_01B,gene_5518,Wild isolate,6.72044718438651
416,seg_01B,gene_5531,Wild isolate,6.72044718438651
417,seg_01B,gene_5544,Wild isolate,6.72044718438651
418,seg_01B,gene_5558,Wild isolate,6.72044718438651
419,seg_01B,gene_5571,Wild isolate,6.72044718438651
420,seg_01B,gene_5584,Wild isolate,6.72044718438651
421,seg_01B,gene_5598,Wild isolate,6.72044718438651
422,seg_01B,gene_5611,Wild isolate,6.72044718438651
423,seg_01B,gene_5624,Wild isolate,6.72044718438651
424,seg_01B,gene_5638,Wild isolate,6.72044718438651
425,seg_01B,gene_5651,Wild isolate,6.72044718438651
426,seg_01B,gene_5664,Wild isolate,6.72044718438651
427,seg_01B,gene_5678,Wild isolate,6.72044718438651
428,seg_01B,gene_5691,Wild isolate,6.72044718438651
429,seg_01B,gene_5704,Wild isolate,6.72044718438651
430,seg_01B,gene_5717,Wild isolate,6.72044718438651
431,seg_01B,gene_5731,Wild isolate,6.72044718438651
432,seg_01B,gene_5744,Wild isolate,6.72044718438651
433,seg_01B,gene_5757,Wild isolate,6.72044718438651
434,seg_01B,gene_5771,Wild isolate,6.72044718438651
435,seg_01B,gene_5784,Wild isolate,6.72044718438651
436,seg_01B,gene_5797,Wild isolate,6.72044718438651
437,seg_01B,gene_5811,Wild isolate,6.72044718438651
438,seg_01B,gene_5824,Wild isolate,6.72044718438651
439,seg_01B,gene_5837,Wild isolate,6.72044718438651
440,seg_01B,gene_5851,Wild isolate,6.72044718438651
441,seg_01B,gene_5864,Wild isolate,6.72044718438651
442,seg_01B,gene_5877,Wild isolate,6.72044718438651
443,seg_01B,gene_5891,Wild isolate,6.72044718438651
444,seg_01B,gene_5904,Wild isolate,6.72044718438651
445,seg_01B,gene_5917,Wild isolate,6.72044718438651
446,seg_01B,gene_5931,Wild isolate,6.72044718438651
447,seg_01B,gene_5944,Wild isolate,6.72044718438651
448,seg_01B,gene_5957,Wild isolate,6.72044718438651
449,seg_01B,gene_5971,Wild isolate,6.72044718438651
450,seg_01B,gene_5984,Wild isolate,6.72044718438651
451,seg_01B,gene_5997,Wild isolate,6.72044718438651
452,seg_01B,gene_6011,Wild isolate,6.72044718438651
453,seg_01B,gene_6024,Wild isolate,6.72044718438651
454,seg_01B,gene_6037,Wild isolate,6.72044718438651
455,seg_01B,gene_6051,Wild isolate,6.72044718438651
456,seg_01B,gene_6064,Wild isolate,6.72044718438651
457,seg_01B,gene_6077,Wild isolate,6.72044718438651
458,seg_01B,gene_6091,Wild isolate,6.72044718438651
459,seg_01B,gene_6104,Wild isolate,6.72044718438651
460,seg_01B,gene_6117,Wild isolate,6.72044718438651
461,seg_01B,gene_6131,Lab strain,6.72044718438651
462,seg_01B,gene_6144,Lab strain,6.72044718438651
463,seg_01B,gene_6157,Lab strain,6.72044718438651
464,seg_01B,gene_6171,Lab strain,6.72044718438651
465,seg_01B,gene_6184,Lab strain,6.72044718438651
466,seg_01B,gene_6197,Lab strain,6.72044718438651
467,seg_01B,gene_6211,Lab strain,6.72044718438651
468,seg_01B,gene_6224,Lab strain,6.72044718438651
469,seg_01B,gene_6237,Lab strain,6.72044718438651
470,seg_01B,gene_6251,Lab strain,6.72044718438651
471,seg_01B,gene_6264,Lab strain,6.72044718438651
472,seg_01B,gene_6277,Lab strain,6.72044718438651
473,seg_01B,gene_6291,Lab strain,6.72044718438651
474,seg_01B,gene_6304,Lab strain,6.72044718438651
475,seg_01B,gene_6317,Lab strain,6.72044718438651
476,seg_01B,gene_6331,Lab strain,6.72044718438651
477,seg_01B,gene_6344,Wild isolate,6.72044718438651
478,seg_01B,gene_6357,Wild isolate,6.72044718438651
479,seg_01B,gene_6370,Wild isolate,6.72044718438651
480,seg_01B,gene_6384,Wild isolate,6.72044718438651
481,seg_01B,gene_6397,Wild isolate,6.72044718438651
482,seg_01B,gene_6410,Wild isolate,6.72044718438651
483,seg_01B,gene_6424,Wild isolate,6.72044718438651
484,seg_01B,gene_6437,Wild isolate,6.72044718438651
485,seg_01B,gene_6450,Wild isolate,6.72044718438651
486,seg_01B,gene_6464,Wild isolate,6.72044718438651
487,seg_01B,gene_6477,Wild isolate,6.72044718438651
488,seg_01B,gene_6490,Wild isolate,6.72044718438651
489,seg_01B,gene_6504,Wild isolate,6.72044718438651
490,seg_01B,gene_6517,Wild isolate,6.72044718438651
491,seg_01B,gene_6530,Wild isolate,6.72044718438651
